date,solar,wind_onshore,wind_offshore
2016-11-04,46151,202759,54125
2016-11-05,18559,160369,21834
2016-11-06,23131,160547,41126
2016-11-07,22875,110930,52214
2016-11-08,27261,96673,17512
2016-11-09,37869,113141,14867
2016-11-10,19280,109995,21254
2016-11-11,21117,91432,19492
2016-11-12,33755,65798,52540
2016-11-13,45871,126797,34114
2016-11-14,67959,203497,64734
2016-11-15,15413,337775,45738
2016-11-16,11124,334045,55635
2016-11-17,22818,462739,68228
2016-11-18,26504,559481,70985
2016-11-19,15963,334617,69955
2016-11-20,46875,584538,69451
2016-11-21,32607,346602,45868
2016-11-22,26528,183293,59866
2016-11-23,36895,71337,16262
2016-11-24,29136,218903,19072
2016-11-25,28022,130535,4919
2016-11-26,12378,107581,44952
2016-11-27,28535,232844,47961
2016-11-28,62663,175960,26416
2016-11-29,70379,178629,47305
2016-11-30,42876,416775,75579
2016-12-01,16610,598140,75058
2016-12-02,33940,259686,45544
2016-12-03,56022,64443,7049
2016-12-04,48037,89103,5420
2016-12-05,40088,70244,13546
2016-12-06,30851,66441,14705
2016-12-07,22855,268874,57799
2016-12-08,39197,422100,46646
2016-12-09,0,16774,3266
2016-12-10,40237,343601,43513
2016-12-11,11373,477590,64096
2016-12-12,15058,146528,15947
2016-12-13,21872,89103,16580
2016-12-14,16450,46816,14963
2016-12-15,15772,145549,44892
2016-12-16,28826,111118,17956
2016-12-17,18208,71962,23836
2016-12-18,8437,106460,16881
2016-12-19,18000,67650,5884
2016-12-20,26453,139400,25777
2016-12-21,22974,239241,70327
2016-12-22,20109,193022,64173
2016-12-23,16111,321571,73723
2016-12-24,12845,611048,70454
2016-12-25,6607,652592,67182
2016-12-26,15463,665450,52712
2016-12-27,23448,579721,61177
2016-12-28,19448,190350,24633
2016-12-29,42910,118887,48812
2016-12-30,48546,176851,62403
2016-12-31,34580,237304,77752
2017-01-01,35291,255709,51414
2017-01-02,12479,234642,60455
2017-01-03,9351,591458,74710
2017-01-04,12814,616598,69982
2017-01-05,20797,230091,31668
2017-01-06,33343,73739,41980
2017-01-07,8386,196402,55904
2017-01-08,4989,35065,6195
2017-01-09,7071,132533,58449
2017-01-10,13044,234594,45781
2017-01-11,7380,562465,74794
2017-01-12,17865,524492,60301
2017-01-13,14311,470290,48325
2017-01-14,16765,416459,70722
2017-01-15,16104,203366,26404
2017-01-16,17601,64933,4276
2017-01-17,22907,69773,9588
2017-01-18,22709,106733,42105
2017-01-19,38191,107805,20184
2017-01-20,39632,99734,9650
2017-01-21,45478,75224,3669
2017-01-22,47386,45012,5758
2017-01-23,30938,30093,9617
2017-01-24,10299,20976,10400
2017-01-25,17721,52132,18638
2017-01-26,56486,179832,55296
2017-01-27,68626,205981,48293
2017-01-28,65966,163058,45743
2017-01-29,53852,240777,64174
2017-01-30,18575,287008,51279
2017-01-31,12063,72210,52572
2017-02-01,23816,150154,71142
2017-02-02,42217,184326,70066
2017-02-03,24220,153798,34239
2017-02-04,49255,189496,21956
2017-02-05,46216,84280,34048
2017-02-06,28574,84592,67526
2017-02-07,29271,175589,88927
2017-02-08,30995,144454,75227
2017-02-09,45277,147539,59995
2017-02-10,33901,207309,83650
2017-02-11,56391,241044,88602
2017-02-12,37667,257757,92513
2017-02-13,89581,269550,68633
2017-02-14,110285,158039,47043
2017-02-15,113904,77038,21841
2017-02-16,92427,199111,83293
2017-02-17,31446,209834,45458
2017-02-18,34514,111413,48748
2017-02-19,58421,276041,72472
2017-02-20,31768,557423,91377
2017-02-21,35746,496732,84188
2017-02-22,25272,730024,96247
2017-02-23,50721,634360,71044
2017-02-24,70545,463623,58481
2017-02-25,97580,337595,76175
2017-02-26,59448,451868,93275
2017-02-27,86393,473252,85155
2017-02-28,49109,530395,71825
2017-03-01,55171,402176,61374
2017-03-02,79160,578816,61976
2017-03-03,94665,264074,59801
2017-03-04,99948,214943,38309
2017-03-05,75048,338243,37544
2017-03-06,52158,190753,54023
2017-03-07,41359,85815,13147
2017-03-08,53959,310792,51843
2017-03-09,48425,285573,63018
2017-03-10,103546,260186,41744
2017-03-11,119267,102078,40691
2017-03-12,145739,246293,75839
2017-03-13,135052,88451,19543
2017-03-14,109520,206811,75349
2017-03-15,113661,249211,60917
2017-03-16,153452,161732,74129
2017-03-17,93963,437834,82947
2017-03-18,39691,604010,62652
2017-03-19,36260,457763,69367
2017-03-20,61799,477272,63110
2017-03-21,70296,316653,88661
2017-03-22,87604,130145,38234
2017-03-23,95997,161449,49677
2017-03-24,120427,147368,5004
2017-03-25,168360,190367,12666
2017-03-26,171808,76213,2931
2017-03-27,191731,66539,4676
2017-03-28,185231,106341,4848
2017-03-29,115054,307937,39759
2017-03-30,142404,140695,72514
2017-03-31,169847,199823,60985
2017-04-01,144803,70238,12271
2017-04-02,134677,94993,15519
2017-04-03,119690,54475,3729
2017-04-04,121475,31749,8920
2017-04-05,117911,270699,62822
2017-04-06,126860,331198,67205
2017-04-07,97877,349473,55258
2017-04-08,127615,58387,7571
2017-04-09,198081,59342,36700
2017-04-10,155883,411793,89881
2017-04-11,135411,291035,72819
2017-04-12,114226,473494,87639
2017-04-13,100218,387064,83160
2017-04-14,113624,211934,49536
2017-04-15,85446,448300,89253
2017-04-16,101418,255791,36553
2017-04-17,92949,158907,52629
2017-04-18,102212,245708,42551
2017-04-19,123418,159607,5015
2017-04-20,177032,76974,45144
2017-04-21,148601,373724,73995
2017-04-22,95932,452019,93875
2017-04-23,130114,317552,76360
2017-04-24,192261,266695,58401
2017-04-25,99272,218374,23271
2017-04-26,104557,43330,10893
2017-04-27,111662,79126,40265
2017-04-28,105568,75516,16717
2017-04-29,146416,92889,16248
2017-04-30,231642,371688,63797
2017-05-01,119737,356391,84321
2017-05-02,91067,316529,86807
2017-05-03,126098,220004,92193
2017-05-04,84354,277726,89685
2017-05-05,83798,98173,49252
2017-05-06,163630,92924,11950
2017-05-07,110392,82941,19431
2017-05-08,63927,204472,63460
2017-05-09,150558,57818,19234
2017-05-10,204869,83502,23744
2017-05-11,197323,154240,44995
2017-05-12,147972,124527,67775
2017-05-13,155427,60433,17302
2017-05-14,151419,66583,21001
2017-05-15,192918,53005,18272
2017-05-16,179569,68136,56760
2017-05-17,220509,154067,33487
2017-05-18,178859,153240,36635
2017-05-19,122883,178800,36682
